drug_name,condition
BENZYLPENICILLIN,eye infection
BENZYLPENICILLIN,pharyngitis
ELLAGIC ACID,follicular lymphoma
BISOPROLOL,hemorrhage
FERROUS FUMARATE,folate deficiency
ETHACRYNIC ACID,urinary bladder cancer
DANAZOL,myelodysplastic syndrome
DANAZOL,endometrial cancer
DANAZOL,thrombotic thrombocytopenic purpura
DANAZOL,autoimmune thrombocytopenia
FELBINAC,Thromboembolism
ENCLOMIPHENE,obesity
ENCLOMIPHENE,hypogonadism
FENTANYL CITRATE,interstitial lung disease
FENTANYL CITRATE,shortness of breath
FENTANYL CITRATE,Low back pain
FENBENDAZOLE,Helminthiasis
CAPSAICIN,"osteoarthritis, knee"
CAPSAICIN,peripheral nervous system disease
CAPSAICIN,neuralgia
CAPSAICIN,Cough
CAPSAICIN,diabetic polyneuropathy
CAPSAICIN,breast cancer
CAPSAICIN,brain injury
ENTECAVIR,viral disease
ENTECAVIR,liver cancer
CAFFEINE,Low back pain
CAFFEINE,Tension-type headache
CAFFEINE,amblyopia
CAFFEINE,substance dependence
CAFFEINE,prostate cancer
CAFFEINE,narcolepsy
BROXURIDINE,prostate cancer
CAMYLOFIN,gastrointestinal disease
DROTAVERINE,gastrointestinal disease
ESTRAMUSTINE,breast cancer
ESTRAMUSTINE,prostate cancer
ESTRADIOL VALERATE,Premature ovarian insufficiency
ESTRADIOL VALERATE,hypogonadism
EPALRESTAT,breast cancer
FENOFIBRATE,hypertension
FENOFIBRATE,atherosclerosis
FENOFIBRATE,lipodystrophy
FENOFIBRATE,hyperlipoproteinemia
ERTAPENEM SODIUM,infection
ETOGLUCID,neoplasm
FELODIPINE,atherosclerosis
FELODIPINE,Hypercholesterolemia
FENOVERINE,gastrointestinal disease
DEXAMETHASONE,acute erythroleukemia
DEXAMETHASONE,acute monocytic leukemia
DEXAMETHASONE,acute myelomonocytic leukemia
DEXAMETHASONE,severe acute respiratory syndrome
DEXAMETHASONE,squamous cell lung carcinoma
DEXAMETHASONE,acute megakaryoblastic leukaemia
DEXAMETHASONE,acute myeloblastic leukemia without maturation
DEXAMETHASONE,refractory anemia
DEXAMETHASONE,refractory anemia with excess blasts
DEXAMETHASONE,ovarian neoplasm
DEXAMETHASONE,Vitiligo
DEXAMETHASONE,anemia (phenotype)
DEXAMETHASONE,"osteoarthritis, knee"
DEXAMETHASONE,cholangiocarcinoma
DEXAMETHASONE,oral cavity cancer
DEXAMETHASONE,T-cell leukemia
DEXAMETHASONE,cerebral toxoplasmosis
DEXAMETHASONE,viral pneumonia
DEXAMETHASONE,synovitis
DEXAMETHASONE,keratitis
DEXAMETHASONE,exfoliative dermatitis
DEXAMETHASONE,hemorrhoid
DEXAMETHASONE,myocarditis
DEXAMETHASONE,xerostomia
DEXAMETHASONE,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive"
DEXAMETHASONE,Langerhans Cell Histiocytosis
DEXAMETHASONE,chronic myelomonocytic leukemia
DEXAMETHASONE,lateral epicondylitis
DEXAMETHASONE,colorectal carcinoma
DEXAMETHASONE,Iridocyclitis
DEXAMETHASONE,Vomiting
DEXAMETHASONE,Epiphora
DEXAMETHASONE,Chorioretinitis
DEXAMETHASONE,Chronic pain
DEXAMETHASONE,childhood acute lymphoblastic leukemia
DEXAMETHASONE,lymphoblastic lymphoma
DEXAMETHASONE,gastric cancer
DEXAMETHASONE,urinary bladder cancer
DEXAMETHASONE,choroiditis
DEXAMETHASONE,brain cancer
DEXAMETHASONE,scleritis
DEXAMETHASONE,nephrosis
DEXAMETHASONE,dermatitis
DEXAMETHASONE,glomerulonephritis
DEXAMETHASONE,liver cancer
DEXAMETHASONE,radiculopathy
DEXAMETHASONE,macular retinal edema
DEXAMETHASONE,intestinal obstruction
DEXAMETHASONE,breast cancer
DEXAMETHASONE,esophageal cancer
DEXAMETHASONE,ovarian cancer
DEXAMETHASONE,prostate cancer
DEXAMETHASONE,lung cancer
DEXAMETHASONE,classic Hodgkin lymphoma
DEXAMETHASONE,endometrial cancer
DEXAMETHASONE,graft versus host disease
DEXAMETHASONE,primary adrenal insufficiency
DEXAMETHASONE,hemophagocytic syndrome
DEXAMETHASONE,Castleman disease
DEXAMETHASONE,specific language disorder
DEXAMETHASONE,acute leukemia of ambiguous lineage
DEXAMETHASONE,adult T-cell leukemia/lymphoma
DEXAMETHASONE,extranodal nasal NK/T cell lymphoma
DEXAMETHASONE,hematopoietic and lymphoid cell neoplasm
DEXAMETHASONE,T-lymphoblastic lymphoma
DICLOFENAC SODIUM,toothache
DICLOFENAC SODIUM,Low back pain
DICLOFENAC SODIUM,urinary bladder cancer
DICLOFENAC SODIUM,radiculopathy
ESKETAMINE,kidney disease
ESKETAMINE,major depressive disorder
ESKETAMINE,depressive disorder
DEXPANTHENOL,eye disease
DEXPANTHENOL,oral mucositis
DEXPANTHENOL,Erythema
DEXPANTHENOL,cheilitis
DIAZEPAM,Agitation
DIAZEPAM,Low back pain
EXEMESTANE,breast ductal carcinoma in situ
EXEMESTANE,breast carcinoma in situ
EXEMESTANE,breast cancer
EXEMESTANE,ovarian cancer
EXEMESTANE,prostate cancer
EXEMESTANE,endometrial cancer
DEFERASIROX,hereditary hemochromatosis
DEXTROSE,chronic kidney disease
DEXTROSE,Tendinopathy
DEXTROSE,Varicose veins
DEXTROSE,Low back pain
DEXTROSE,neutropenia
DEXTROSE,fungal infectious disease
DICLOFENAC POTASSIUM,toothache
DOMPERIDONE,gastrointestinal disease
ETHOHEXADIOL,parasitic infection
DOXEPIN HYDROCHLORIDE,oral mucositis
DROSPIRENONE,bulimia nervosa
DROSPIRENONE,binge eating
IBANDRONIC ACID,bone neoplasm
IBANDRONIC ACID,pain
IBANDRONIC ACID,metastasis
IBANDRONIC ACID,breast cancer
HYDROCORTISONE,T-cell acute lymphoblastic leukemia
HYDROCORTISONE,acute erythroleukemia
HYDROCORTISONE,acute monocytic leukemia
HYDROCORTISONE,acute myelomonocytic leukemia
HYDROCORTISONE,acute megakaryoblastic leukaemia
HYDROCORTISONE,acute myeloblastic leukemia without maturation
HYDROCORTISONE,refractory anemia
HYDROCORTISONE,refractory anemia with excess blasts
HYDROCORTISONE,influenza
HYDROCORTISONE,viral pneumonia
HYDROCORTISONE,hypoxia
HYDROCORTISONE,hemorrhoid
HYDROCORTISONE,Central Nervous System Neoplasm
HYDROCORTISONE,chronic myelomonocytic leukemia
HYDROCORTISONE,childhood acute lymphoblastic leukemia
HYDROCORTISONE,lymphoblastic lymphoma
HYDROCORTISONE,dermatitis
HYDROCORTISONE,prostate cancer
HYDROCORTISONE,primary adrenal insufficiency
HYDROCORTISONE,hemophagocytic syndrome
HYDROCORTISONE,acute leukemia of ambiguous lineage
DEXTROMETHORPHAN,major depressive disorder
DEXTROMETHORPHAN,prostate cancer
DEXRAZOXANE,ganglioneuroblastoma
DEXRAZOXANE,soft tissue sarcoma
DIBUCAINE,hemorrhoid
ETHAMIVAN,respiratory system disease
EFAVIRENZ,viral disease
EFAVIRENZ,prostate cancer
ICOSAPENT,breast ductal carcinoma in situ
ICOSAPENT,Anorexia
ICOSAPENT,cholestasis
ICOSAPENT,major depressive disorder
ICOSAPENT,breast cancer
ICOSAPENT,follicular lymphoma
ESOMEPRAZOLE MAGNESIUM,gastric ulcer
ESOMEPRAZOLE MAGNESIUM,peptic ulcer disease
DIMETHYL PHTHALATE,parasitic infection
ESTRADIOL,post-traumatic stress disorder
ESTRADIOL,pain
ESTRADIOL,bulimia nervosa
ESTRADIOL,amenorrhea
ESTRADIOL,cerebral arterial disease
ESTRADIOL,Myocardial Ischemia
ESTRADIOL,Premature ovarian insufficiency
ESTRADIOL,Dyspareunia
ESTRADIOL,Hot flashes
ESTRADIOL,postmenopausal atrophic vaginitis
ESTRADIOL,hypogonadism
ESTRADIOL,breast cancer
ESTRADIOL,prostate cancer
IDEBENONE,attention deficit hyperactivity disorder
DOXORUBICIN,breast ductal carcinoma in situ
DOXORUBICIN,ganglioneuroblastoma
DOXORUBICIN,gastric adenocarcinoma
DOXORUBICIN,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive"
DOXORUBICIN,Hepatoblastoma
DOXORUBICIN,neuroendocrine neoplasm
DOXORUBICIN,Abnormality of blood and blood-forming tissues
DOXORUBICIN,childhood acute lymphoblastic leukemia
DOXORUBICIN,lymphoblastic lymphoma
DOXORUBICIN,gastric cancer
DOXORUBICIN,urinary bladder cancer
DOXORUBICIN,neutropenia
DOXORUBICIN,brain cancer
DOXORUBICIN,peritoneum cancer
DOXORUBICIN,thyroid cancer
DOXORUBICIN,fallopian tube cancer
DOXORUBICIN,liver cancer
DOXORUBICIN,carcinosarcoma
DOXORUBICIN,cervical cancer
DOXORUBICIN,B-cell neoplasm
DOXORUBICIN,urethra cancer
DOXORUBICIN,breast carcinoma in situ
DOXORUBICIN,salivary gland cancer
DOXORUBICIN,breast cancer
DOXORUBICIN,ovarian cancer
DOXORUBICIN,prostate cancer
DOXORUBICIN,classic Hodgkin lymphoma
DOXORUBICIN,endometrial cancer
DOXORUBICIN,hemophagocytic syndrome
DOXORUBICIN,Castleman disease
DOXORUBICIN,T-cell non-Hodgkin lymphoma
DOXORUBICIN,pilocytic astrocytoma
DOXORUBICIN,choroid plexus neoplasm
DOXORUBICIN,carcinoma of liver and intrahepatic biliary tract
DOXORUBICIN,follicular lymphoma
DOXORUBICIN,kidney Wilms tumor
DOXORUBICIN,acute leukemia of ambiguous lineage
DOXORUBICIN,adult T-cell leukemia/lymphoma
DOXORUBICIN,extranodal nasal NK/T cell lymphoma
ETHOSUXIMIDE,complex regional pain syndrome
ETHOSUXIMIDE,Seizure
ETHOSUXIMIDE,depressive disorder
DIACEREIN,"osteoarthritis, knee"
DIACEREIN,Dystrophic epidermolysis bullosa
EFLORNITHINE HYDROCHLORIDE,neuroblastoma
DICHLOROPHEN,Helminthiasis
DRONABINOL,psoriatic arthritis
DRONABINOL,"osteoarthritis, knee"
DRONABINOL,Torticollis
DRONABINOL,Arthropathy
DRONABINOL,Hair-pulling
DIETHYLSTILBESTROL,prostate cancer
KETAMINE HYDROCHLORIDE,major depressive disorder
KETAMINE HYDROCHLORIDE,depressive disorder
IOPAMIDOL,prostate cancer
HOMATROPINE METHYLBROMIDE,gastrointestinal disease
KETOTIFEN FUMARATE,bone fracture
KETOTIFEN FUMARATE,dermatitis
ISOSORBIDE DINITRATE,hemorrhoid
DUTASTERIDE,hypogonadism
DUTASTERIDE,prostate cancer
ISOSORBIDE,laryngeal carcinoma
ISOSORBIDE,prostate cancer
ISOSORBIDE,follicular lymphoma
EBSELEN,ototoxicity
HETACILLIN,bacterial disease
HYOSCYAMINE,gastrointestinal disease
LEUCINE,major depressive disorder
FIPEXIDE,attention deficit hyperactivity disorder
DOXERCALCIFEROL,parathyroid disease
DOXERCALCIFEROL,prostate cancer
DOXYCYCLINE,filarial elephantiasis
DOXYCYCLINE,persian gulf syndrome
FLUDEOXYGLUCOSE F 18,urinary bladder cancer
FLUDEOXYGLUCOSE F 18,kidney cancer
FLUDEOXYGLUCOSE F 18,cervical cancer
FLUDEOXYGLUCOSE F 18,urethra cancer
FLUDEOXYGLUCOSE F 18,breast cancer
FLUDEOXYGLUCOSE F 18,prostate cancer
FLUDEOXYGLUCOSE F 18,lung cancer
FLUDEOXYGLUCOSE F 18,classic Hodgkin lymphoma
FLUDEOXYGLUCOSE F 18,follicular lymphoma
FLUDARABINE PHOSPHATE,MALT lymphoma
FLUDARABINE PHOSPHATE,acute erythroleukemia
FLUDARABINE PHOSPHATE,acute monocytic leukemia
FLUDARABINE PHOSPHATE,acute myelomonocytic leukemia
FLUDARABINE PHOSPHATE,osteosarcoma
FLUDARABINE PHOSPHATE,chronic myeloproliferative disorder
FLUDARABINE PHOSPHATE,pancreatic ductal adenocarcinoma
FLUDARABINE PHOSPHATE,acute myeloblastic leukemia without maturation
FLUDARABINE PHOSPHATE,refractory anemia with excess blasts
FLUDARABINE PHOSPHATE,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive"
FLUDARABINE PHOSPHATE,Hepatoblastoma
FLUDARABINE PHOSPHATE,childhood acute lymphoblastic leukemia
FLUDARABINE PHOSPHATE,lymphoblastic lymphoma
FLUDARABINE PHOSPHATE,prolymphocytic leukemia
FLUDARABINE PHOSPHATE,peritoneum cancer
FLUDARABINE PHOSPHATE,thyroid cancer
FLUDARABINE PHOSPHATE,fallopian tube cancer
FLUDARABINE PHOSPHATE,kidney cancer
FLUDARABINE PHOSPHATE,liver cancer
FLUDARABINE PHOSPHATE,breast cancer
FLUDARABINE PHOSPHATE,esophageal cancer
FLUDARABINE PHOSPHATE,ovarian cancer
FLUDARABINE PHOSPHATE,prostate cancer
FLUDARABINE PHOSPHATE,lung cancer
FLUDARABINE PHOSPHATE,graft versus host disease
FLUDARABINE PHOSPHATE,T-cell non-Hodgkin lymphoma
FLUDARABINE PHOSPHATE,follicular lymphoma
FLUDARABINE PHOSPHATE,acute leukemia of ambiguous lineage
FLUDARABINE PHOSPHATE,T-cell large granular lymphocyte leukemia
FLUDARABINE PHOSPHATE,adult T-cell leukemia/lymphoma
FLUDARABINE PHOSPHATE,extranodal nasal NK/T cell lymphoma
FLUDARABINE PHOSPHATE,neuroepithelial neoplasm
FLUDARABINE PHOSPHATE,hematopoietic and lymphoid cell neoplasm
FLUDARABINE PHOSPHATE,myelofibrosis
HALOPERIDOL,Agitation
HYDROCORTISONE ACETATE,hemorrhoid
IFENPRODIL,idiopathic pulmonary fibrosis
HYDROXYUREA,myeloproliferative disorder
HYDROXYUREA,Central Nervous System Neoplasm
HYDROXYUREA,Abnormality of blood and blood-forming tissues
HYDROXYUREA,gastric cancer
HYDROXYUREA,pulmonary hypertension
HYDROXYUREA,esophageal cancer
HYDROXYUREA,lung cancer
IMIQUIMOD,anal neoplasm
IMIQUIMOD,avian influenza
IMIQUIMOD,influenza
IMIQUIMOD,diffuse intrinsic pontine glioma
IMIQUIMOD,brain cancer
IMIQUIMOD,cheilitis
IMIQUIMOD,fallopian tube cancer
IMIQUIMOD,cervical cancer
IMIQUIMOD,breast cancer
IMIQUIMOD,ovarian cancer
IMIQUIMOD,prostate cancer
IMIQUIMOD,lentigo
IMIQUIMOD,intraepithelial neoplasia
IMIQUIMOD,squamous cell intraepithelial neoplasia
HISTAMINE DIHYDROCHLORIDE,kidney cancer
LIDOCAINE HYDROCHLORIDE,liver cancer
IFOSFAMIDE,T-cell acute lymphoblastic leukemia
IFOSFAMIDE,adrenal gland pheochromocytoma
IFOSFAMIDE,chronic myeloproliferative disorder
IFOSFAMIDE,mediastinal cancer
IFOSFAMIDE,Central Nervous System Neoplasm
IFOSFAMIDE,childhood acute lymphoblastic leukemia
IFOSFAMIDE,lymphoblastic lymphoma
IFOSFAMIDE,urinary bladder cancer
IFOSFAMIDE,penile cancer
IFOSFAMIDE,peritoneum cancer
IFOSFAMIDE,fallopian tube cancer
IFOSFAMIDE,kidney cancer
IFOSFAMIDE,teratoma
IFOSFAMIDE,uterine cancer
IFOSFAMIDE,cervical cancer
IFOSFAMIDE,urethra cancer
IFOSFAMIDE,breast cancer
IFOSFAMIDE,ovarian cancer
IFOSFAMIDE,lung cancer
IFOSFAMIDE,classic Hodgkin lymphoma
IFOSFAMIDE,endometrial cancer
IFOSFAMIDE,follicular lymphoma
IFOSFAMIDE,kidney Wilms tumor
IOHEXOL,Renal insufficiency
DIETHYLTOLUAMIDE,parasitic infection
FLUCONAZOLE,candidiasis
FLUCONAZOLE,fungal infectious disease
FLUCONAZOLE,vaginitis
FLUCONAZOLE,graft versus host disease
LACTULOSE,Encephalopathy
FINASTERIDE,hypogonadism
FINASTERIDE,prostate cancer
INDOCYANINE GREEN,inflammatory breast carcinoma
INDOCYANINE GREEN,head and neck carcinoma
INDOCYANINE GREEN,periodontal disorder
INDOCYANINE GREEN,breast cancer
INDOCYANINE GREEN,lung cancer
INDOCYANINE GREEN,lung neoplasm
LETROZOLE,metastasis
LETROZOLE,Adenomyosis
LETROZOLE,peritoneum cancer
LETROZOLE,fallopian tube cancer
LETROZOLE,uterine cancer
LETROZOLE,anovulation
LETROZOLE,breast cancer
LETROZOLE,ovarian cancer
LETROZOLE,endometrial cancer
INDISULAM,gastric cancer
KETOROLAC TROMETHAMINE,cerebral arterial disease
KETOROLAC TROMETHAMINE,macular retinal edema
IBUDILAST,substance abuse
LIDORESTAT,diabetic polyneuropathy
LEUCOVORIN CALCIUM,T-cell acute lymphoblastic leukemia
LEUCOVORIN CALCIUM,chronic myeloproliferative disorder
LEUCOVORIN CALCIUM,pancreatic endocrine carcinoma
LEUCOVORIN CALCIUM,pneumocystosis
LEUCOVORIN CALCIUM,Central Nervous System Neoplasm
LEUCOVORIN CALCIUM,colon adenocarcinoma
LEUCOVORIN CALCIUM,childhood acute lymphoblastic leukemia
LEUCOVORIN CALCIUM,lymphoblastic lymphoma
LEUCOVORIN CALCIUM,gastric cancer
LEUCOVORIN CALCIUM,appendix cancer
LEUCOVORIN CALCIUM,brain cancer
LEUCOVORIN CALCIUM,peritoneum cancer
LEUCOVORIN CALCIUM,neuroendocrine carcinoma
LEUCOVORIN CALCIUM,digestive system cancer
LEUCOVORIN CALCIUM,liver cancer
LEUCOVORIN CALCIUM,biliary tract cancer
LEUCOVORIN CALCIUM,breast cancer
LEUCOVORIN CALCIUM,esophageal cancer
LEUCOVORIN CALCIUM,ovarian cancer
LEUCOVORIN CALCIUM,choroid plexus neoplasm
LEUCOVORIN CALCIUM,malignant colon neoplasm
LEUCOVORIN CALCIUM,T-lymphoblastic lymphoma
LEUCOVORIN CALCIUM,rectal carcinoma
LASOFOXIFENE,breast cancer
LERISETRON,Nausea and vomiting
EDARAVONE,kidney disease
EDARAVONE,brain injury
INOSINE,eye disease
DULOXETINE HYDROCHLORIDE,major depressive disorder
DULOXETINE HYDROCHLORIDE,depressive disorder
ILOPROST,Raynaud disease
ILOPROST,pulmonary hypertension
ILOPROST,lung cancer
IXABEPILONE,hypopharyngeal carcinoma
IXABEPILONE,Uterine Carcinosarcoma
IXABEPILONE,soft tissue sarcoma
IXABEPILONE,peritoneum cancer
IXABEPILONE,fallopian tube cancer
IXABEPILONE,urethra cancer
IXABEPILONE,breast cancer
IXABEPILONE,ovarian cancer
IXABEPILONE,prostate cancer
IXABEPILONE,lung cancer
IXABEPILONE,endometrial cancer
IXABEPILONE,follicular lymphoma
IXABEPILONE,oropharyngeal carcinoma
FLUOROURACIL,bladder tumor
FLUOROURACIL,chronic myeloproliferative disorder
FLUOROURACIL,hypopharyngeal carcinoma
FLUOROURACIL,non-Hodgkins lymphoma
FLUOROURACIL,pancreatic endocrine carcinoma
FLUOROURACIL,gastrointestinal disease
FLUOROURACIL,neuroendocrine neoplasm
FLUOROURACIL,colon adenocarcinoma
FLUOROURACIL,thrombotic disease
FLUOROURACIL,gastric cancer
FLUOROURACIL,urinary bladder cancer
FLUOROURACIL,anus cancer
FLUOROURACIL,head and neck carcinoma
FLUOROURACIL,peritoneum cancer
FLUOROURACIL,neuroendocrine carcinoma
FLUOROURACIL,laryngeal carcinoma
FLUOROURACIL,kidney cancer
FLUOROURACIL,digestive system cancer
FLUOROURACIL,liver cancer
FLUOROURACIL,cervical cancer
FLUOROURACIL,biliary tract cancer
FLUOROURACIL,anal carcinoma
FLUOROURACIL,urethra cancer
FLUOROURACIL,breast cancer
FLUOROURACIL,esophageal cancer
FLUOROURACIL,ovarian cancer
FLUOROURACIL,malignant colon neoplasm
FLUOROURACIL,neoplasm of esophagus
FLUOROURACIL,squamous cell intraepithelial neoplasia
FLUOROURACIL,rectal carcinoma
EFAPROXIRAL,neoplasm
EFAPROXIRAL,Central Nervous System Neoplasm
EFAPROXIRAL,breast cancer
EFAPROXIRAL,lung cancer
HEXAMINOLEVULINATE HYDROCHLORIDE,urinary bladder cancer
INOSITOL,Hair-pulling
INOSITOL,lung cancer
LEVETIRACETAM,central nervous system cancer
LEVETIRACETAM,brain neoplasm
LEVETIRACETAM,psychosis
LEVETIRACETAM,Torticollis
LEVETIRACETAM,Bilateral tonic-clonic seizure
LEVETIRACETAM,Generalized non-motor (absence) seizure
LEVETIRACETAM,Aphasia
LEVETIRACETAM,alcohol abuse
IDAZOXAN,major depressive disorder
NATAMYCIN,eye infection
GANCICLOVIR,conjunctivitis
GANCICLOVIR,Central Nervous System Neoplasm
GANCICLOVIR,eye infection
GANCICLOVIR,peritoneum cancer
GANCICLOVIR,fallopian tube cancer
GANCICLOVIR,ovarian cancer
GANCICLOVIR,graft versus host disease
GLUTATHIONE,peripheral neuropathy
GLUTATHIONE,pain
GLUTATHIONE,neuropathy
GLUTATHIONE,breast cancer
FOSFOMYCIN,pyelonephritis
FLUORESCEIN SODIUM,hyperemia
FORMOTEROL FUMARATE,Bronchospasm
FORMOTEROL FUMARATE,lung cancer
LITHIUM CARBONATE,treatment resistant depression
LITHIUM CARBONATE,Central Nervous System Neoplasm
LITHIUM CARBONATE,neuroendocrine neoplasm
LITHIUM CARBONATE,brain cancer
LITHIUM CARBONATE,major depressive disorder
LITHIUM CARBONATE,prostate cancer
LITHIUM CARBONATE,medullary thyroid gland carcinoma
FLUTAMIDE,ovarian cancer
FLUTAMIDE,prostate cancer
IROFULVEN,Central Nervous System Neoplasm
IROFULVEN,gastric cancer
IROFULVEN,peritoneum cancer
IROFULVEN,thyroid cancer
IROFULVEN,fallopian tube cancer
IROFULVEN,kidney cancer
IROFULVEN,liver cancer
IROFULVEN,cervical cancer
IROFULVEN,breast cancer
IROFULVEN,ovarian cancer
IROFULVEN,prostate cancer
IROFULVEN,lung cancer
IROFULVEN,endometrial cancer
ISOSULFAN BLUE,breast cancer
LEVOFLOXACIN,bacterial disease
LEVOFLOXACIN,eye infection
LEVOFLOXACIN,Fever
LEVOFLOXACIN,Hot flashes
LEVOFLOXACIN,infective endocarditis
LEVOFLOXACIN,neutropenia
LEVOFLOXACIN,endophthalmitis
FLOXURIDINE,rectum cancer
FLOXURIDINE,gastric cancer
FLOXURIDINE,peritoneum cancer
FLOXURIDINE,fallopian tube cancer
FLOXURIDINE,liver cancer
FLOXURIDINE,esophageal cancer
FLOXURIDINE,ovarian cancer
FLOXURIDINE,malignant colon neoplasm
ISEPAMICIN,bacterial disease
FESOTERODINE,Polyuria
FLUVASTATIN SODIUM,breast cancer
LEVODROPROPIZINE,bronchial disease
FLUOROMETHOLONE,hemorrhoid
FLUOROMETHOLONE,Corneal opacity
FLUOROMETHOLONE,inflammation
LIOTHYRONINE SODIUM,prostate cancer
GABOXADOL,major depressive disorder
GIMATECAN,Central Nervous System Neoplasm
LORAZEPAM,Agitation
LORAZEPAM,major depressive disorder
LORAZEPAM,peripheral vertigo
GATIFLOXACIN,bacterial disease
FAROPENEM,bacterial disease
LORATADINE,multiple myeloma
LORATADINE,eosinophilic esophagitis
LORATADINE,breast cancer
GONADORELIN ACETATE,hypogonadism
GONADORELIN ACETATE,breast cancer
GONADORELIN ACETATE,prostate cancer
GONADORELIN ACETATE,hypogonadotropic hypogonadism
FLOMOXEF,bacterial disease
NALTREXONE,psoriasis
NALTREXONE,severe acute respiratory syndrome
NALTREXONE,fibromyalgia
NALTREXONE,coronavirus infectious disease
NALTREXONE,acute respiratory distress syndrome
NALTREXONE,Hair-pulling
NALTREXONE,pervasive developmental disorder
NALTREXONE,major depressive disorder
NALTREXONE,alcohol abuse
NALTREXONE,breast cancer
NALTREXONE,alcohol-related disorders
FOLIC ACID,folate deficiency
FOLIC ACID,colorectal cancer
FOLIC ACID,peritoneum cancer
FOLIC ACID,fallopian tube cancer
FOLIC ACID,gingival overgrowth
FOLIC ACID,cervical cancer
FOLIC ACID,esophageal cancer
FOLIC ACID,ovarian cancer
FOLIC ACID,prostate cancer
FOLIC ACID,lung cancer
GLIPIZIDE,chronic kidney disease
MEROPENEM,infection
MEROPENEM,acute pancreatitis
MEROPENEM,Enterobacteriaceae Infections
MEROPENEM,meningitis
MEROPENEM,gram-negative bacterial infections
NELARABINE,myelodysplastic syndrome
NELARABINE,multiple myeloma
NELARABINE,chronic myeloproliferative disorder
NELARABINE,lymphoblastic lymphoma
NELARABINE,T-lymphoblastic lymphoma
FLEROXACIN,bacterial disease
NABILONE,Spasticity
MOSAPRIDE,gastrointestinal disease
MOXIFLOXACIN,influenza
MOXIFLOXACIN,Spasticity
MOXIFLOXACIN,lice infestation
MOXIFLOXACIN,breast cancer
MOXIFLOXACIN,endophthalmitis
MOXIFLOXACIN,drug-resistant tuberculosis
LEVOCARNITINE,cytomegalovirus infection
LEVOCARNITINE,muscle cramp
LEVOCARNITINE,Acute kidney injury
GOSERELIN,Adenomyosis
GOSERELIN,breast cancer
GOSERELIN,prostate cancer
LINDANE,parasitic infection
FUSIDIC ACID,bacterial disease
FUSIDIC ACID,eye infection
GLYCINE,diarrheal disease
MAGNESIUM OXIDE,Constipation
GEMCITABINE HYDROCHLORIDE,cervical adenocarcinoma
GEMCITABINE HYDROCHLORIDE,urothelial carcinoma
GEMCITABINE HYDROCHLORIDE,ovarian serous cystadenocarcinoma
GEMCITABINE HYDROCHLORIDE,Uterine Carcinosarcoma
GEMCITABINE HYDROCHLORIDE,hilar cholangiocarcinoma
GEMCITABINE HYDROCHLORIDE,intrahepatic cholangiocarcinoma
GEMCITABINE HYDROCHLORIDE,Thromboembolism
GEMCITABINE HYDROCHLORIDE,gastric cancer
GEMCITABINE HYDROCHLORIDE,urinary bladder cancer
GEMCITABINE HYDROCHLORIDE,peritoneum cancer
GEMCITABINE HYDROCHLORIDE,fallopian tube cancer
GEMCITABINE HYDROCHLORIDE,kidney cancer
GEMCITABINE HYDROCHLORIDE,liver cancer
GEMCITABINE HYDROCHLORIDE,cervical cancer
GEMCITABINE HYDROCHLORIDE,urethra cancer
GEMCITABINE HYDROCHLORIDE,gallbladder cancer
GEMCITABINE HYDROCHLORIDE,breast cancer
GEMCITABINE HYDROCHLORIDE,ovarian cancer
GEMCITABINE HYDROCHLORIDE,prostate cancer
GEMCITABINE HYDROCHLORIDE,ureter cancer
GEMCITABINE HYDROCHLORIDE,lung cancer
GEMCITABINE HYDROCHLORIDE,endometrial cancer
GEMCITABINE HYDROCHLORIDE,T-cell non-Hodgkin lymphoma
IVABRADINE,Non-ST Elevation Myocardial Infarction
IVABRADINE,Tachycardia
FLUOXETINE,treatment resistant depression
FLUOXETINE,Sciatica
FLUOXETINE,major depressive disorder
MYCOPHENOLIC ACID,graft versus host disease
LOTEPREDNOL ETABONATE,Ocular pain
LEVODOPA,Aphasia
LEVODOPA,amblyopia
LEVODOPA,brain injury
FLUOCINONIDE,psoriasis
FLUOCINONIDE,hemorrhoid
LINOPIRDINE,attention deficit hyperactivity disorder
GRANISETRON HYDROCHLORIDE,Nausea and vomiting
FLUORESCEIN,breast cancer
FLUMEQUINE,bacterial disease
LAMIVUDINE,viral disease
LAMIVUDINE,hepatitis B virus infection
LAMIVUDINE,Hepatitis
LAMOTRIGINE,Bilateral tonic-clonic seizure
FLUMAZENIL,narcolepsy
NAPROXEN SODIUM,"osteoarthritis, knee"
NAPROXEN SODIUM,toothache
NAPROXEN SODIUM,pharyngitis
MERCAPTOPURINE,childhood acute lymphoblastic leukemia
MERCAPTOPURINE,lymphoblastic lymphoma
MERCAPTOPURINE,mixed glioma
MERCAPTOPURINE,acute leukemia of ambiguous lineage
MERCAPTOPURINE,T-lymphoblastic lymphoma
GALLIUM NITRATE,Mycobacterium infection
NICLOSAMIDE,Helminthiasis
NICLOSAMIDE,malignant colon neoplasm
NICLOSAMIDE,Familial adenomatous polyposis
NOLATREXED,liver cancer
MUPIROCIN,epistaxis
MUPIROCIN,radiodermatitis
MANNITOL,anaplastic oligodendroglioma
MANNITOL,congenital heart disease
